Lay-off employees
Adalberto W Creek
Adelaide L Harrop
Alexis Q Grose
Allyn O Farrior
America V Lobel
Amiee Z Chaffins
Andrew Detweiler
Asa E Kunze
August C Navarette
Bell N Molinaro
Bennie E Manfredi
Benny S Brinker
Bernie M Kish
Brendon E Mone
Bridget D Spadaro
Buck H Rancourt
Cameron A Chamberland
Candelaria Q Zajicek
Candelaria Zajicek
Carlotta T Ryles
Carmelia E Bergeron
Cedric N Cavallo
Christene F Blakemore
Christie Rodger
Cliff Skipworth
Cole N Poling
Deanna P Scoggin
Dee Joslyn
Detra D Rymer
Devin Hales
Digna Q Eck
Doyle Utter
Dulce E Grizzard
Edmund Mcclung
Ela K Hames
Eldridge B Bose
Elsy B Latta
Elvis J Stroh
Elvis Veiga
Fernando S Korhonen
Gabriel E Pearsall
Garnett Dryer
Garrett Nolette
Garrett S Nolette
Grisel R Whitty
Harland S Renshaw
Honey D Eaves
Hong M Townson
Inocencia Z Buteau
Jamaal Z Resto
Jamel Meaney
Janie P Caswell
Jayson S Carrol
Jenni Olguin
Jocelyn Q Scotti
Jody K Rude
Jolanda Dewees
Jon Arvizu
Jordan Phu
Julius Q Stock
Kassie Q Binder
Katie N Kinnison
Keila A Lucas
Keira Y Till
Ken X Weisberg
Kenton Q Villalta
Kimberlee J Hawkins
Kristopher Alejos
Lamar W Estill
Larisa Still
Larry K Mash
Latia Gleaton
Launa N Kohl
Laurena P Caston
Lenny U Rister
Loren H Mckenzie
Lorriane P Ho
Lyn Tso
Margrett M Confer
Maximina K Frates
Micaela N Buker
Narcisa C Rayburn
Nettie T Mccandless
Oren M Mcnabb
Oren Mcnabb
Orval Q Olinger
Patria D Riedel
Raymundo Pecora
Reinaldo G Castellanos
Reynaldo S Service
Sammy C Holtzclaw
Sarita P Schubert
Scott D Torrey
Shanti P Brinegar
Shavonne Henkle
Sherwood K Shire
Sol K Roger
Stephan Q Ranger
Stewart Mazurek
Susana H Hooks
Tamera Balser
Taneka Q Church
Taylor Thill
Therese Q Belden
Tiny Q Llanos
Toney O Gentle
Toney W Bollman
Toya B Rawlins
Valene Z Woodmansee
Vaughn Garica
Vernell X Amado
Vikki N Lezama
Violet L Ertel
Walton S Keim
Willia Vath
Windy A Dudek
Wm S Goldschmidt
