district,date,month,year,visitors
Adilabad,01-01-2016,January,2016,792136
Adilabad,01-02-2016,February,2016,937820
Adilabad,01-03-2016,March,2016,582946
Adilabad,01-04-2016,April,2016,341948
Adilabad,01-05-2016,May,2016,252887
Adilabad,01-06-2016,June,2016,368237
Adilabad,01-07-2016,July,2016,447562
Adilabad,01-08-2016,August,2016,614285
Adilabad,01-09-2016,September,2016,491279
Adilabad,01-10-2016,October,2016,94184
Adilabad,01-11-2016,November,2016,99148
Adilabad,01-12-2016,December,2016,53125
Bhadradri Kothagudem ,01-01-2016,January,2016,0
Bhadradri Kothagudem ,01-02-2016,February,2016,0
Bhadradri Kothagudem ,01-03-2016,March,2016,0
Bhadradri Kothagudem ,01-04-2016,April,2016,0
Bhadradri Kothagudem ,01-05-2016,May,2016,0
Bhadradri Kothagudem ,01-06-2016,June,2016,0
Bhadradri Kothagudem ,01-07-2016,July,2016,0
Bhadradri Kothagudem ,01-08-2016,August,2016,0
Bhadradri Kothagudem ,01-09-2016,September,2016,0
Bhadradri Kothagudem ,01-10-2016,October,2016,310133
Bhadradri Kothagudem ,01-11-2016,November,2016,252127
Bhadradri Kothagudem ,01-12-2016,December,2016,326770
Hyderabad,01-01-2016,January,2016,1122510
Hyderabad,01-02-2016,February,2016,778748
Hyderabad,01-03-2016,March,2016,1017794
Hyderabad,01-04-2016,April,2016,1127738
Hyderabad,01-05-2016,May,2016,1287181
Hyderabad,01-06-2016,June,2016,12032661
Hyderabad,01-07-2016,July,2016,1096754
Hyderabad,01-08-2016,August,2016,1061137
Hyderabad,01-09-2016,September,2016,832987
Hyderabad,01-10-2016,October,2016,901960
Hyderabad,01-11-2016,November,2016,909733
Hyderabad,01-12-2016,December,2016,1225502
Jagtial ,01-01-2016,January,2016,0
Jagtial ,01-02-2016,February,2016,0
Jagtial ,01-03-2016,March,2016,0
Jagtial ,01-04-2016,April,2016,0
Jagtial ,01-05-2016,May,2016,0
Jagtial ,01-06-2016,June,2016,0
Jagtial ,01-07-2016,July,2016,0
Jagtial ,01-08-2016,August,2016,0
Jagtial ,01-09-2016,September,2016,0
Jagtial ,01-10-2016,October,2016,201249
Jagtial ,01-11-2016,November,2016,214534
Jagtial ,01-12-2016,December,2016,207294
Jangaon ,01-01-2016,January,2016,0
Jangaon ,01-02-2016,February,2016,0
Jangaon ,01-03-2016,March,2016,0
Jangaon ,01-04-2016,April,2016,0
Jangaon ,01-05-2016,May,2016,0
Jangaon ,01-06-2016,June,2016,0
Jangaon ,01-07-2016,July,2016,0
Jangaon ,01-08-2016,August,2016,0
Jangaon ,01-09-2016,September,2016,0
Jangaon ,01-10-2016,October,2016,14770
Jangaon ,01-11-2016,November,2016,13210
Jangaon ,01-12-2016,December,2016,12680
Jayashankar Bhoopalpally,01-01-2016,January,2016,0
Jayashankar Bhoopalpally,01-02-2016,February,2016,0
Jayashankar Bhoopalpally,01-03-2016,March,2016,0
Jayashankar Bhoopalpally,01-04-2016,April,2016,0
Jayashankar Bhoopalpally,01-05-2016,May,2016,0
Jayashankar Bhoopalpally,01-06-2016,June,2016,0
Jayashankar Bhoopalpally,01-07-2016,July,2016,0
Jayashankar Bhoopalpally,01-08-2016,August,2016,0
Jayashankar Bhoopalpally,01-09-2016,September,2016,0
Jayashankar Bhoopalpally,01-10-2016,October,2016,76360
Jayashankar Bhoopalpally,01-11-2016,November,2016,81580
Jayashankar Bhoopalpally,01-12-2016,December,2016,85460
Jogulamba Gadwal ,01-01-2016,January,2016,0
Jogulamba Gadwal ,01-02-2016,February,2016,0
Jogulamba Gadwal ,01-03-2016,March,2016,0
Jogulamba Gadwal ,01-04-2016,April,2016,0
Jogulamba Gadwal ,01-05-2016,May,2016,0
Jogulamba Gadwal ,01-06-2016,June,2016,0
Jogulamba Gadwal ,01-07-2016,July,2016,0
Jogulamba Gadwal ,01-08-2016,August,2016,0
Jogulamba Gadwal ,01-09-2016,September,2016,0
Jogulamba Gadwal ,01-10-2016,October,2016,152898
Jogulamba Gadwal ,01-11-2016,November,2016,188170
Jogulamba Gadwal ,01-12-2016,December,2016,182333
Kamareddy ,01-01-2016,January,2016,0
Kamareddy ,01-02-2016,February,2016,0
Kamareddy ,01-03-2016,March,2016,0
Kamareddy ,01-04-2016,April,2016,0
Kamareddy ,01-05-2016,May,2016,0
Kamareddy ,01-06-2016,June,2016,0
Kamareddy ,01-07-2016,July,2016,0
Kamareddy ,01-08-2016,August,2016,0
Kamareddy ,01-09-2016,September,2016,0
Kamareddy ,01-10-2016,October,2016,47
Kamareddy ,01-11-2016,November,2016,38
Kamareddy ,01-12-2016,December,2016,42
Karimnagar ,01-01-2016,January,2016,1984442
Karimnagar ,01-02-2016,February,2016,779960
Karimnagar ,01-03-2016,March,2016,1018399
Karimnagar ,01-04-2016,April,2016,956959
Karimnagar ,01-05-2016,May,2016,1095642
Karimnagar ,01-06-2016,June,2016,914746
Karimnagar ,01-07-2016,July,2016,401047
Karimnagar ,01-08-2016,August,2016,1018399
Karimnagar ,01-09-2016,September,2016,956959
Karimnagar ,01-10-2016,October,2016,13675
Karimnagar ,01-11-2016,November,2016,13350
Karimnagar ,01-12-2016,December,2016,13890
Khammam,01-01-2016,January,2016,651827
Khammam,01-02-2016,February,2016,407533
Khammam,01-03-2016,March,2016,458527
Khammam,01-04-2016,April,2016,971622
Khammam,01-05-2016,May,2016,433994
Khammam,01-06-2016,June,2016,445862
Khammam,01-07-2016,July,2016,414963
Khammam,01-08-2016,August,2016,503654
Khammam,01-09-2016,September,2016,368437
Khammam,01-10-2016,October,2016,121575
Khammam,01-11-2016,November,2016,110634
Khammam,01-12-2016,December,2016,116403
Komaram Bheem Asifabad,01-01-2016,January,2016,0
Komaram Bheem Asifabad,01-02-2016,February,2016,0
Komaram Bheem Asifabad,01-03-2016,March,2016,0
Komaram Bheem Asifabad,01-04-2016,April,2016,0
Komaram Bheem Asifabad,01-05-2016,May,2016,0
Komaram Bheem Asifabad,01-06-2016,June,2016,0
Komaram Bheem Asifabad,01-07-2016,July,2016,0
Komaram Bheem Asifabad,01-08-2016,August,2016,0
Komaram Bheem Asifabad,01-09-2016,September,2016,0
Komaram Bheem Asifabad,01-10-2016,October,2016,0
Komaram Bheem Asifabad,01-11-2016,November,2016,0
Komaram Bheem Asifabad,01-12-2016,December,2016,0
Mahabubabad ,01-01-2016,January,2016,0
Mahabubabad ,01-02-2016,February,2016,0
Mahabubabad ,01-03-2016,March,2016,0
Mahabubabad ,01-04-2016,April,2016,0
Mahabubabad ,01-05-2016,May,2016,0
Mahabubabad ,01-06-2016,June,2016,0
Mahabubabad ,01-07-2016,July,2016,0
Mahabubabad ,01-08-2016,August,2016,0
